group	fill	clickSelects
1	#FFFFFF	1703
2	#FFFFFF	1703
3	#FFFFFF	1703
4	#FFFFFF	1703
5	#FFFFFF	1703
6	#FFFFFF	1703
7	#FFFFFF	623
8	#FFFFFF	623
9	#FFFFFF	623
10	#FFFFFF	623
11	#FFFFFF	623
12	#FFFFFF	623
13	#FFFFFF	623
14	#FFFFFF	488
15	#FFFFFF	623
16	#FFFFFF	623
17	#FFFFFF	788
18	#FFFFFF	623
19	#FFFFFF	623
20	#FFFFFF	788
21	#FFFFFF	788
22	#FFFFFF	788
23	#FFFFFF	788
24	#FFFFFF	788
25	#FFFFFF	488
26	#FFFFFF	623
27	#FFFFFF	623
28	#FFFFFF	623
29	#FFFFFF	623
30	#FFFFFF	623
31	#FFFFFF	623
32	#FFFFFF	623
33	#FFFFFF	788
34	#FFFFFF	788
35	#FFFFFF	788
36	#FFFFFF	1703
37	#FFFFFF	623
38	#FFFFFF	623
39	#FFFFFF	623
40	#FFFFFF	623
41	#FFFFFF	623
42	#FFFFFF	623
43	#FFFFFF	623
44	#FFFFFF	623
45	#FFFFFF	623
46	#FFFFFF	1703
47	#FFFFFF	623
48	#FFFFFF	623
49	#FFFFFF	1703
50	#FFFFFF	1703
52	#FFFFFF	1703
53	#FFFFFF	1703
54	#FFFFFF	1703
55	#FFFFFF	623
56	#FFFFFF	1703
57	#FFFFFF	623
58	#FFFFFF	623
59	#FFFFFF	623
60	#FFFFFF	623
61	#FFFFFF	623
62	#FFFFFF	623
63	#FFFFFF	623
64	#FFFFFF	488
65	#FFFFFF	623
66	#FFFFFF	623
67	#FFFFFF	623
68	#FFFFFF	623
69	#FFFFFF	623
70	#FFFFFF	623
71	#FFFFFF	788
72	#FFFFFF	788
73	#FFFFFF	788
74	#FFFFFF	788
75	#FFFFFF	488
76	#FFFFFF	623
77	#FFFFFF	623
78	#FFFFFF	623
79	#FFFFFF	623
80	#FFFFFF	623
81	#FFFFFF	623
82	#FFFFFF	623
83	#FFFFFF	623
84	#FFFFFF	788
85	#FFFFFF	788
86	#FFFFFF	1703
87	#FFFFFF	788
88	#FFFFFF	788
89	#FFFFFF	623
90	#FFFFFF	623
91	#FFFFFF	623
92	#FFFFFF	623
93	#FFFFFF	623
94	#FFFFFF	623
95	#FFFFFF	623
97	#FFFFFF	488
98	#FFFFFF	1703
99	#FFFFFF	1703
100	#FFFFFF	623
101	#FFFFFF	1703
102	#FFFFFF	3901
103	#FFFFFF	1703
104	#FFFFFF	1703
105	#FFFFFF	1703
106	#FFFFFF	623
107	#FFFFFF	623
108	#FFFFFF	623
109	#FFFFFF	623
110	#FFFFFF	623
111	#FFFFFF	623
112	#FFFFFF	623
113	#FFFFFF	623
114	#FFFFFF	623
115	#FFFFFF	488
116	#FFFFFF	623
117	#FFFFFF	623
118	#FFFFFF	623
119	#FFFFFF	788
120	#FFFFFF	623
121	#FFFFFF	788
122	#FFFFFF	788
123	#FFFFFF	788
124	#FFFFFF	788
125	#FFFFFF	623
126	#FFFFFF	488
127	#FFFFFF	623
128	#FFFFFF	623
129	#FFFFFF	623
130	#FFFFFF	623
131	#FFFFFF	623
132	#FFFFFF	623
133	#FFFFFF	788
134	#FFFFFF	788
135	#FFFFFF	788
136	#FFFFFF	623
137	#FFFFFF	488
138	#FFFFFF	788
139	#FFFFFF	623
140	#FFFFFF	623
141	#FFFFFF	623
142	#FFFFFF	623
143	#FFFFFF	623
144	#FFFFFF	623
145	#FFFFFF	623
146	#FFFFFF	623
147	#FFFFFF	488
148	#FFFFFF	1703
149	#FFFFFF	1703
150	#FFFFFF	623
151	#FFFFFF	1703
153	#FFFFFF	488
154	#FFFFFF	488
155	#FFFFFF	1703
156	#FFFFFF	1703
157	#FFFFFF	1703
158	#FFFFFF	2630
159	#FFFFFF	1703
160	#FFFFFF	2630
161	#FFFFFF	788
162	#FFFFFF	788
163	#FFFFFF	788
164	#FFFFFF	788
165	#FFFFFF	488
166	#FFFFFF	623
167	#FFFFFF	623
168	#FFFFFF	788
169	#FFFFFF	788
170	#FFFFFF	788
171	#FFFFFF	788
172	#FFFFFF	788
173	#FFFFFF	788
174	#FFFFFF	3529
175	#FFFFFF	3529
176	#FFFFFF	488
177	#FFFFFF	3529
178	#FFFFFF	3529
179	#FFFFFF	3529
180	#FFFFFF	788
181	#FFFFFF	3529
182	#FFFFFF	788
183	#FFFFFF	788
184	#FFFFFF	788
185	#FFFFFF	788
186	#FFFFFF	788
187	#FFFFFF	488
188	#FFFFFF	788
189	#FFFFFF	623
190	#FFFFFF	788
191	#FFFFFF	788
192	#FFFFFF	788
193	#FFFFFF	623
194	#FFFFFF	623
195	#FFFFFF	623
196	#FFFFFF	623
198	#FFFFFF	1703
199	#FFFFFF	1703
200	#FFFFFF	1703
201	#FFFFFF	1703
202	#FFFFFF	1703
203	#FFFFFF	488
204	#FFFFFF	488
205	#FFFFFF	488
206	#FFFFFF	1703
207	#FFFFFF	1703
208	#FFFFFF	2630
209	#FFFFFF	2630
210	#FFFFFF	2630
211	#FFFFFF	2630
212	#FFFFFF	788
213	#FFFFFF	788
214	#FFFFFF	788
215	#FFFFFF	623
216	#FFFFFF	488
217	#FFFFFF	623
218	#FFFFFF	788
219	#FFFFFF	788
220	#FFFFFF	788
221	#FFFFFF	788
222	#FFFFFF	788
223	#FFFFFF	788
224	#FFFFFF	3529
225	#FFFFFF	3529
226	#FFFFFF	3529
227	#FFFFFF	488
228	#FFFFFF	3529
229	#FFFFFF	3529
230	#FFFFFF	3529
231	#FFFFFF	788
232	#FFFFFF	3529
233	#FFFFFF	788
234	#FFFFFF	788
235	#FFFFFF	788
236	#FFFFFF	788
237	#FFFFFF	788
238	#FFFFFF	1703
239	#FFFFFF	788
240	#FFFFFF	623
241	#FFFFFF	788
242	#FFFFFF	788
243	#FFFFFF	623
244	#FFFFFF	623
245	#FFFFFF	623
246	#FFFFFF	623
247	#FFFFFF	623
248	#FFFFFF	1703
249	#FFFFFF	1703
250	#FFFFFF	1703
251	#FFFFFF	2630
252	#FFFFFF	2630
254	#FFFFFF	488
255	#FFFFFF	488
256	#FFFFFF	2630
257	#FFFFFF	1703
258	#FFFFFF	1703
259	#FFFFFF	2630
260	#FFFFFF	2630
261	#FFFFFF	2630
262	#FFFFFF	788
263	#FFFFFF	788
264	#FFFFFF	788
265	#FFFFFF	788
266	#FFFFFF	488
267	#FFFFFF	788
268	#FFFFFF	788
269	#FFFFFF	788
270	#FFFFFF	788
271	#FFFFFF	788
272	#FFFFFF	788
273	#FFFFFF	788
274	#FFFFFF	788
275	#FFFFFF	3529
276	#FFFFFF	3529
277	#FFFFFF	488
278	#FFFFFF	3529
279	#FFFFFF	3529
280	#FFFFFF	3529
281	#FFFFFF	3529
282	#FFFFFF	3529
283	#FFFFFF	788
284	#FFFFFF	788
285	#FFFFFF	788
286	#FFFFFF	788
287	#FFFFFF	788
288	#FFFFFF	488
289	#FFFFFF	788
290	#FFFFFF	623
291	#FFFFFF	623
292	#FFFFFF	788
293	#FFFFFF	788
294	#FFFFFF	623
295	#FFFFFF	623
296	#FFFFFF	623
297	#FFFFFF	623
299	#FFFFFF	488
300	#FFFFFF	488
301	#FFFFFF	1703
302	#FFFFFF	2630
303	#FFFFFF	2630
304	#FFFFFF	488
305	#FFFFFF	488
306	#FFFFFF	488
307	#FFFFFF	1703
308	#FFFFFF	2630
309	#FFFFFF	2630
310	#FFFFFF	2630
311	#FFFFFF	2630
312	#FFFFFF	788
313	#FFFFFF	788
314	#FFFFFF	788
315	#FFFFFF	788
316	#FFFFFF	788
317	#FFFFFF	488
318	#FFFFFF	788
319	#FFFFFF	788
320	#FFFFFF	788
321	#FFFFFF	788
322	#FFFFFF	788
323	#FFFFFF	788
324	#FFFFFF	3529
325	#FFFFFF	788
326	#FFFFFF	3529
327	#FFFFFF	3529
328	#FFFFFF	488
329	#FFFFFF	3529
330	#FFFFFF	788
331	#FFFFFF	3529
332	#FFFFFF	3529
333	#FFFFFF	788
334	#FFFFFF	788
335	#FFFFFF	788
336	#FFFFFF	788
337	#FFFFFF	788
338	#FFFFFF	788
339	#FFFFFF	488
340	#FFFFFF	623
341	#FFFFFF	623
342	#FFFFFF	623
343	#FFFFFF	623
344	#FFFFFF	623
345	#FFFFFF	623
346	#FFFFFF	788
347	#FFFFFF	623
348	#FFFFFF	623
349	#FFFFFF	488
350	#FFFFFF	1703
351	#FFFFFF	488
352	#FFFFFF	2630
353	#FFFFFF	1703
355	#FFFFFF	488
356	#FFFFFF	488
357	#FFFFFF	1703
358	#FFFFFF	2630
359	#FFFFFF	2630
360	#FFFFFF	2630
361	#FFFFFF	2630
362	#FFFFFF	2630
363	#FFFFFF	2630
364	#FFFFFF	788
365	#FFFFFF	788
366	#FFFFFF	2630
367	#FFFFFF	488
368	#FFFFFF	2630
369	#FFFFFF	788
370	#FFFFFF	788
371	#FFFFFF	788
372	#FFFFFF	788
373	#FFFFFF	788
374	#FFFFFF	3529
375	#FFFFFF	3529
376	#FFFFFF	3529
377	#FFFFFF	788
378	#FFFFFF	488
379	#FFFFFF	788
380	#FFFFFF	3529
381	#FFFFFF	788
382	#FFFFFF	788
383	#FFFFFF	788
384	#FFFFFF	788
385	#FFFFFF	788
386	#FFFFFF	788
387	#FFFFFF	788
388	#FFFFFF	788
389	#FFFFFF	488
390	#FFFFFF	623
391	#FFFFFF	623
392	#FFFFFF	623
393	#FFFFFF	623
394	#FFFFFF	623
395	#FFFFFF	623
396	#FFFFFF	788
397	#FFFFFF	623
398	#FFFFFF	623
400	#FFFFFF	488
401	#FFFFFF	488
402	#FFFFFF	488
403	#FFFFFF	2630
404	#FFFFFF	2630
405	#FFFFFF	1703
406	#FFFFFF	488
407	#FFFFFF	488
408	#FFFFFF	2630
409	#FFFFFF	2630
410	#FFFFFF	2630
411	#FFFFFF	2630
412	#FFFFFF	2630
413	#FFFFFF	2630
414	#FFFFFF	788
415	#FFFFFF	788
416	#FFFFFF	2630
417	#FFFFFF	2630
418	#FFFFFF	488
419	#FFFFFF	788
420	#FFFFFF	788
421	#FFFFFF	788
422	#FFFFFF	788
423	#FFFFFF	788
424	#FFFFFF	788
425	#FFFFFF	3529
426	#FFFFFF	3529
427	#FFFFFF	3529
428	#FFFFFF	788
429	#FFFFFF	488
430	#FFFFFF	788
431	#FFFFFF	3529
432	#FFFFFF	788
433	#FFFFFF	788
434	#FFFFFF	788
435	#FFFFFF	788
436	#FFFFFF	788
437	#FFFFFF	788
438	#FFFFFF	788
439	#FFFFFF	788
440	#FFFFFF	488
441	#FFFFFF	788
442	#FFFFFF	623
443	#FFFFFF	623
444	#FFFFFF	623
445	#FFFFFF	623
446	#FFFFFF	788
447	#FFFFFF	623
448	#FFFFFF	623
449	#FFFFFF	623
450	#FFFFFF	488
451	#FFFFFF	488
452	#FFFFFF	2630
453	#FFFFFF	488
454	#FFFFFF	2630
456	#FFFFFF	488
457	#FFFFFF	488
458	#FFFFFF	2630
459	#FFFFFF	2630
460	#FFFFFF	2630
461	#FFFFFF	2630
462	#FFFFFF	2630
463	#FFFFFF	2630
464	#FFFFFF	788
465	#FFFFFF	2630
466	#FFFFFF	788
467	#FFFFFF	2630
468	#FFFFFF	488
469	#FFFFFF	2630
470	#FFFFFF	788
471	#FFFFFF	788
472	#FFFFFF	788
473	#FFFFFF	788
474	#FFFFFF	788
475	#FFFFFF	3529
476	#FFFFFF	3529
477	#FFFFFF	3529
478	#FFFFFF	788
479	#FFFFFF	488
480	#FFFFFF	788
481	#FFFFFF	788
482	#FFFFFF	788
483	#FFFFFF	788
484	#FFFFFF	788
485	#FFFFFF	788
486	#FFFFFF	788
487	#FFFFFF	788
488	#FFFFFF	788
489	#FFFFFF	788
490	#FFFFFF	488
491	#FFFFFF	788
492	#FFFFFF	623
493	#FFFFFF	623
494	#FFFFFF	623
495	#FFFFFF	788
496	#FFFFFF	788
497	#FFFFFF	623
498	#FFFFFF	623
499	#FFFFFF	623
501	#FFFFFF	488
502	#FFFFFF	488
503	#FFFFFF	488
504	#FFFFFF	488
505	#FFFFFF	2630
506	#FFFFFF	1703
507	#FFFFFF	488
508	#FFFFFF	488
509	#FFFFFF	2630
510	#FFFFFF	2630
511	#FFFFFF	2630
512	#FFFFFF	2630
513	#FFFFFF	2630
514	#FFFFFF	2630
515	#FFFFFF	2630
516	#FFFFFF	788
517	#FFFFFF	2630
518	#FFFFFF	2630
519	#FFFFFF	488
520	#FFFFFF	2630
521	#FFFFFF	788
522	#FFFFFF	788
523	#FFFFFF	788
524	#FFFFFF	788
525	#FFFFFF	3529
526	#FFFFFF	3529
527	#FFFFFF	788
528	#FFFFFF	3529
529	#FFFFFF	3529
530	#FFFFFF	488
531	#FFFFFF	788
532	#FFFFFF	788
533	#FFFFFF	788
534	#FFFFFF	788
535	#FFFFFF	788
536	#FFFFFF	788
537	#FFFFFF	788
538	#FFFFFF	788
539	#FFFFFF	788
540	#FFFFFF	788
541	#FFFFFF	488
542	#FFFFFF	788
543	#FFFFFF	623
544	#FFFFFF	623
545	#FFFFFF	788
546	#FFFFFF	788
547	#FFFFFF	623
548	#FFFFFF	623
549	#FFFFFF	623
550	#FFFFFF	623
551	#FFFFFF	488
552	#FFFFFF	488
553	#FFFFFF	488
554	#FFFFFF	2630
555	#FFFFFF	2630
557	#FFFFFF	1703
558	#FFFFFF	488
