group	x	y	clickSelects
626	-45.25	48.75	110
626	-45.25	49.25	110
626	-42.75	49.25	110
626	-42.25	48.75	110
626	-41.25	48.75	110
626	-41.25	47.75	110
626	-39.25	47.75	110
626	-37.75	46.25	110
626	-37.75	45.25	110
626	-37.25	45.25	110
626	-36.75	45.75	110
626	-36.75	46.25	110
626	-37.75	47.25	110
626	-37.75	47.75	110
626	-37.25	48.25	110
626	-34.75	48.25	110
626	-34.75	47.25	110
626	-34.25	46.75	110
626	-34.25	45.75	110
626	-33.75	45.25	110
626	-32.25	45.25	110
626	-30.75	46.75	110
626	-30.75	47.25	110
626	-31.25	47.25	110
626	-31.75	46.75	110
626	-32.25	46.75	110
626	-32.25	48.25	110
626	-31.25	49.25	110
626	-16.75	49.25	110
626	-16.25	48.75	110
626	-15.25	48.75	110
626	-15.25	48.25	110
626	-15.75	47.75	110
626	-15.75	46.75	110
626	-16.25	46.75	110
626	-16.75	47.25	110
626	-17.25	47.25	110
626	-17.25	46.25	110
626	-17.75	45.75	110
626	-19.75	45.75	110
626	-19.75	45.25	110
626	-19.25	44.75	110
626	-17.75	44.75	110
626	-17.25	45.25	110
626	-15.75	45.25	110
626	-15.25	44.75	110
626	-13.75	44.75	110
626	-13.25	45.25	110
626	-13.25	46.25	110
626	-11.75	46.25	110
626	-11.25	45.75	110
626	-10.25	45.75	110
626	-10.25	45.25	110
626	-10.75	44.75	110
626	-10.75	43.25	110
626	-9.75	42.25	110
626	-9.75	40.75	110
626	-10.25	40.25	110
626	-10.25	39.75	110
626	-9.75	39.75	110
626	-9.25	40.25	110
626	-6.75	40.25	110
626	-6.75	39.25	110
626	-6.25	38.75	110
626	-6.25	38.25	110
626	-6.75	38.25	110
626	-7.25	38.75	110
626	-7.75	38.75	110
626	-7.75	38.25	110
626	-6.25	36.75	110
626	-5.75	36.75	110
626	-5.25	37.25	110
626	-3.75	37.25	110
626	-2.25	35.75	110
626	-2.25	34.75	110
626	-1.75	34.25	110
626	-1.25	34.25	110
626	1.25	36.75	110
626	2.75	36.75	110
626	2.75	35.75	110
626	3.75	34.75	110
626	4.75	34.75	110
626	5.25	34.25	110
626	5.25	29.75	110
626	4.25	29.75	110
626	3.75	29.25	110
626	3.25	29.25	110
626	2.75	29.75	110
626	2.75	30.75	110
626	1.25	32.25	110
626	0.75	32.25	110
626	0.25	31.75	110
626	0.25	31.25	110
626	1.25	31.25	110
626	1.75	30.75	110
626	1.75	29.75	110
626	2.25	29.25	110
626	2.25	28.75	110
626	1.75	28.25	110
626	1.75	27.25	110
626	1.25	26.75	110
626	-2.75	26.75	110
626	-3.25	26.25	110
626	-3.75	26.25	110
626	-3.75	26.75	110
626	-3.25	27.25	110
626	-3.25	27.75	110
626	-4.25	28.75	110
626	-4.25	29.75	110
626	-5.25	30.75	110
626	-5.75	30.75	110
626	-5.75	30.25	110
626	-5.25	29.75	110
626	-5.25	28.25	110
626	-5.75	28.25	110
626	-6.25	28.75	110
626	-7.25	28.75	110
626	-7.25	29.25	110
626	-6.75	29.75	110
626	-6.75	30.25	110
626	-7.75	31.25	110
626	-8.25	31.25	110
626	-8.25	30.75	110
626	-7.75	30.25	110
626	-7.75	29.75	110
626	-8.75	29.75	110
626	-8.75	28.75	110
626	-9.25	28.25	110
626	-9.25	27.75	110
626	-8.75	27.75	110
626	-8.25	28.25	110
626	-7.75	28.25	110
626	-7.25	27.75	110
626	-7.25	27.25	110
626	-7.75	26.75	110
626	-7.75	26.25	110
626	-7.25	25.75	110
626	-6.25	25.75	110
626	-6.25	24.25	110
626	-6.75	23.75	110
626	-7.25	23.75	110
626	-7.25	24.75	110
626	-7.75	24.75	110
626	-8.25	24.25	110
626	-8.75	24.25	110
626	-9.25	24.75	110
626	-10.25	24.75	110
626	-10.25	25.25	110
626	-9.25	26.25	110
626	-9.25	26.75	110
626	-9.75	26.75	110
626	-10.25	26.25	110
626	-10.75	26.25	110
626	-10.75	28.25	110
626	-11.25	28.75	110
