group	label	showSelected1
1	Cluster 388: 1149/1667 pixels shown, logFC -1.9 to 1.7, log10(p) 0.0 to 30.5	388
1	Cluster 540: 1402/2182 pixels shown, logFC -1.7 to 3.3, log10(p) 0.0 to 8.5	540
1	Cluster 698: 156/1209 pixels shown, logFC -1.7 to 1.3, log10(p) 0.0 to 27.5	698
1	Cluster 777: 125/1283 pixels shown, logFC -1.0 to 1.5, log10(p) 0.0 to 12.6	777
1	Cluster 1451: 35/35 pixels shown, logFC -1.1 to -0.4, log10(p) 5.6 to 37.4	1451
1	Cluster 1831: 841/5083 pixels shown, logFC -5.1 to 3.3, log10(p) 0.0 to 4.9	1831
1	Cluster 1860: 153/500 pixels shown, logFC -4.6 to 1.7, log10(p) 0.0 to 4.2	1860
1	Cluster 2348: 14/14 pixels shown, logFC -1.1 to -0.6, log10(p) 13.8 to 37.7	2348
1	Cluster 2349: 19/19 pixels shown, logFC -1.2 to -0.5, log10(p) 10.3 to 36.5	2349
1	Cluster 2467: 45/45 pixels shown, logFC -1.9 to -0.5, log10(p) 8.2 to 47.7	2467
1	Cluster 3070: 8/1270 pixels shown, logFC -0.2 to 4.2, log10(p) 0.1 to 19.2	3070
1	Cluster 3086: 19/19 pixels shown, logFC -2.4 to -1.0, log10(p) 27.5 to 50.0	3086
1	Cluster 3183: 303/412 pixels shown, logFC -2.1 to 0.1, log10(p) 0.2 to 32.6	3183
1	Cluster 3495: 631/906 pixels shown, logFC -4.7 to 0.8, log10(p) 0.0 to 7.6	3495
