fill	x	y	xmin	xmax	ymin	ymax
#8D8D8D	4	3.5	3.875	4.125	3.375	3.625
#272727	3	1	2.875	3.125	0.875	1.125
#BCBCBC	4.25	4	4.125	4.375	3.875	4.125
#3B3B3B	3.25	1.5	3.125	3.375	1.375	1.625
#808080	4	3.25	3.875	4.125	3.125	3.375
#181818	2.75	1	2.625	2.875	0.875	1.125
#6D6D6D	3.75	2.5	3.625	3.875	2.375	2.625
#161616	2.5	1	2.375	2.625	0.875	1.125
#7D7D7D	3.75	3.25	3.625	3.875	3.125	3.375
#515151	3.5	2.5	3.375	3.625	2.375	2.625
#737373	3.75	3	3.625	3.875	2.875	3.125
#363636	3	2	2.875	3.125	1.875	2.125
#7A7A7A	3.5	2.75	3.375	3.625	2.625	2.875
#6B6B6B	3.75	2.75	3.625	3.875	2.625	2.875
#2E2E2E	3	1.5	2.875	3.125	1.375	1.625
#292929	3.25	2	3.125	3.375	1.875	2.125
#7A7A7A	3.5	1.5	3.375	3.625	1.375	1.625
#4C4C4C	3.5	2.25	3.375	3.625	2.125	2.375
#FFFFFF	4.25	5.25	4.125	4.375	5.125	5.375
#B1B1B1	4.25	3.75	4.125	4.375	3.625	3.875
#4A4A4A	3.5	2	3.375	3.625	1.875	2.125
#151515	2.25	1	2.125	2.375	0.875	1.125
#DDDDDD	4	4	3.875	4.125	3.875	4.125
#B1B1B1	3.5	3	3.375	3.625	2.875	3.125
#FFFFFF	4.25	4.5	4.125	4.375	4.375	4.625
#262626	2.5	0	2.375	2.625	-0.125	0.125
#717171	3.25	2.25	3.125	3.375	2.125	2.375
#5C5C5C	3.25	1	3.125	3.375	0.875	1.125
#585858	2.5	1.5	2.375	2.625	1.375	1.625
#FFFFFF	4.5	4.5	4.375	4.625	4.375	4.625
#A9A9A9	3.25	2.5	3.125	3.375	2.375	2.625
#4C4C4C	2.75	2	2.625	2.875	1.875	2.125
#3C3C3C	2.75	1.5	2.625	2.875	1.375	1.625
#1C1C1C	2	1	1.875	2.125	0.875	1.125
#FFFFFF	3.5	3.25	3.375	3.625	3.125	3.375
#3E3E3E	2.75	0	2.625	2.875	-0.125	0.125
#DDDDDD	4.25	4.25	4.125	4.375	4.125	4.375
#050505	2	0	1.875	2.125	-0.125	0.125
#969696	3.75	2.25	3.625	3.875	2.125	2.375
#0D0D0D	2.25	0	2.125	2.375	-0.125	0.125
#000000	1.75	0	1.625	1.875	-0.125	0.125
#DDDDDD	4	3.75	3.875	4.125	3.625	3.875
#FFFFFF	3.5	1	3.375	3.625	0.875	1.125
#191919	1.25	0	1.125	1.375	-0.125	0.125
#676767	2.5	2	2.375	2.625	1.875	2.125
#A9A9A9	4	3	3.875	4.125	2.875	3.125
#BCBCBC	3.25	2.75	3.125	3.375	2.625	2.875
#C9C9C9	3.75	2	3.625	3.875	1.875	2.125
#B1B1B1	3	2.25	2.875	3.125	2.125	2.375
#808080	3	0	2.875	3.125	-0.125	0.125
#FFFFFF	4.25	3.5	4.125	4.375	3.375	3.625
#2C2C2C	1.75	1	1.625	1.875	0.875	1.125
#060606	1.5	0	1.375	1.625	-0.125	0.125
#3A3A3A	1.5	1	1.375	1.625	0.875	1.125
#7D7D7D	2	1.5	1.875	2.125	1.375	1.625
#787878	2.25	2	2.125	2.375	1.875	2.125
#FFFFFF	3	2.5	2.875	3.125	2.375	2.625
#969696	2	2	1.875	2.125	1.875	2.125
#343434	1	0	0.875	1.125	-0.125	0.125
#A9A9A9	1.75	2	1.625	1.875	1.875	2.125
#7D7D7D	2.25	1.5	2.125	2.375	1.375	1.625
#545454	1.25	1	1.125	1.375	0.875	1.125
#DDDDDD	1.5	2	1.375	1.625	1.875	2.125
#A2A2A2	1.75	1.5	1.625	1.875	1.375	1.625
#B1B1B1	1.5	1.5	1.375	1.625	1.375	1.625
#6A6A6A	0.75	0	0.625	0.875	-0.125	0.125
#8A8A8A	1	1	0.875	1.125	0.875	1.125
#C9C9C9	0.75	1	0.625	0.875	0.875	1.125
#FFFFFF	2.75	2.5	2.625	2.875	2.375	2.625
#969696	0.5	0	0.375	0.625	-0.125	0.125
#FFFFFF	0.25	0	0.125	0.375	-0.125	0.125
#FFFFFF	1.25	1.5	1.125	1.375	1.375	1.625
